passage_id,firm,year,page,passage_text,human_label_ai_relevant
e46b6ded,AO World,2022,19,Technology and automation Responsible retailing continue to be crucial to the online is gaining traction shopper experience A growing population of younger shoppers are wielding influence on consumer spending and pushing Emerging retail technology trends are shifting the the agenda on responsible re,No
ebd05570,AO World,2022,19,"This consumer landscape of online shopping. From easy automation to segment prioritises brands that embed social and artificial intelligence (“AI”) customer service, technology environmental responsibility to their everyday business has already been paving the way for a more seamless model7. In 2021",Yes
45ef5394,AO World,2023,46,"potential threats that Artificial Intelligence (AI) may pose Our three-year plan models the impact of reduced market share in the are still yet to be fully understood. AO will look to harness UK; a number of different scenarios have been modelled to ensure we this developing technology, however ther",No
aa6ae634,AO World,2022,23,"As a result of these upgrades, we expect to see improved efficiency, driven by an ever-increasing adoption of machine learning and automation. Our bespoke data-driven attribution model launched earlier this year, and this has delivered a step change in how we measure and optimise marketing performan",Yes
0d0c96b3,ASOS,2025,74,"Recently, she multiple leadership roles spanning USA and successfully transformed chaired Remuneration Committees for global grocery, supply chain, devices the company’s marketing functions. Hilton Food Group plc and Coca-Cola and e-commerce, where she helped Current external appointments Europacifi",No
87a07b8b,ASOS,2025,176,Netherlands 100% Indirect Payment processing company ASOS Payments Holding Limited UK 100% Indirect Holding company Cornwall (Jersey) Limited Jersey 100% Indirect Vehicle for issue of convertible bond ASOS Holdings Limited UK 90% Indirect Brand management company 24.8.2024 Limited UK 25% Indirect Br,No
ac9dd7b9,ASOS,2021,67,"balance in the table below. 2 ASOS Projects Limited has a 3.4% interest in Action Artificial Intelligence Limited. Capital Investment contribution Total ASOS Intermediate Holdings Limited, Mornington & Co (No.",No
fc7b4e50,About You,2023,46,"This increase efficiency both internally, as well as The uniform regulation of social and represents one of the essential opportunities along the customer journey. A specific environmental standards along the supply identified, which allows ABOUT YOU to example is the new AI assistant MAYA, which ch",Yes
f544a7b5,About You,2021,73,"Annual Report FY 2021/2022 2__COMBINED MANAGEMENT REPORT Product-based­E-Commerce­as­Percentage­of­ Graphic: Total­Retail­2010−2025 1­(%) for focus investments in the next five years in Europe in 2022 as market dynamics normal- included: cloud, artificial intelligence, and the ise, equivalent to c. ",Yes
4fab1952,About You,2024,27,"By leveraging innovative technologies, specifically Artificial Intelligence, ABOUT YOU aims to not only offer a unique customer experience, but also to increase efficiency both internally, as well as along the customer journey. A specific example is the new AI assistant MAYA, which has been providin",Yes
38c538dd,Allegro,2022,80,"need for the Group’s websites to be optimised for condition and results of operations. mobile use and faster, more reliable load times. In addition, machine learning and other forms of artificial intelligence are transforming aspects of e-commerce ranging from optimising search results and pricing t",Yes
081ed4d0,Allegro,2023,63,"into convenient 2, 3, 5, 10 or 20-month instalments, in relation to the banking services and (iii) providing advanced technology solutions such as machine giving greater financial flexibility to Active Buyers onboarding process and management of the Banking learning, artificial intelligence and robo",Yes
c3373203,Allegro,2025,73,"consequences at the moment and undermines the Group’s “ownership” of such content and the possibilities to legally control such content. If these risks materialize, they could significantly hinder the successful execution of the Group’s strategy, negatively affecting its financial performance and ma",No
954c5d8e,Boozt,2023,16,"enhancing product descriptions and size recommendations. These in distribution, fulfilment, payment solutions, as well as marketing improvements are made possible through the utilization of big and media. Continuous focus on the Nordics data and machine learning.",Yes
80665810,Boozt,2023,16,"These in distribution, fulfilment, payment solutions, as well as marketing improvements are made possible through the utilization of big and media. Continuous focus on the Nordics data and machine learning. We provide options for the customer With a clear ambition to significantly organically outgro",Yes
33fc18a7,Boozt,2024,16,"At the core of this A key strength of Boozt’s technology platform is its Boozt.com is a central part of Boozt’s business, accounting when orders contained products from multiple cubes, manual approach is our ""Solar System"", Boozt’s bespoke platform, ability to leverage data and machine learning algo",Yes
dbffb98f,DocMorris,2021,17,What is the latory frameworks in place? Are the underlying main focus for 2022? value chains sufficiently mature? These are just a few of many essential questions. One of the con- It’s important for me to be able to think out- crete upcoming opportunities to integrate digital side the box. I don’t t,No
534b641d,DocMorris,2021,17,"One of the con- It’s important for me to be able to think out- crete upcoming opportunities to integrate digital side the box. I don’t think it’s appropriate to just health into the everyday lives of people in Europe chase after future-oriented developments such as is, for example, via the introduct",No
bfbc48b2,DocMorris,2025,8,The Executive Committee will be reduced from six to five members. His duties will be assumed by Dr Angeli Möller as Chief Digital Health Officer and member of the extended Executive Committee. The PhD molecular biologist and AI expert brings extensive leadership experience from Roche and Bayer and i,No
7973cdd7,HelloFresh,2025,47,"We do so by rationalizing our production footprint, increasing labor productivity and addressing overhead personnel inefficiencies, as well as by implementing additional initiatives, especially stemming from our efforts of deploying Generative AI into various workstreams. We are structurally lowerin",Yes
