firm,year,fiscal_year_end_month,exact_quote,source_file,page_number
AO World,2021,March,for the year ended 31 March 2021,AOWorld_2021.pdf,130.0
AO World,2022,March,As at 31 March 2022,AOWorld_2022.pdf,17.0
AO World,2023,March,As at 31 March 2023,AOWorld_2023.pdf,11.0
AO World,2024,UNVERIFIED,"UNVERIFIED -- quote cites '31 March 2023' -- wrong year for a 2024 report; likely matched a comparative-period reference, not the current FYE",AOWorld_2024.pdf,
AO World,2025,March,for the year ended 31 March 2025,AOWorld_2025.pdf,21.0
ASOS,2021,August,year ended 31 August 2021,ASOS_2021.pdf,26.0
ASOS,2022,August,as at 31 August 2022,ASOS_2022.pdf,12.0
ASOS,2023,September,As at 3 September 2023,ASOS_2023.pdf,17.0
ASOS,2024,September,As at 1 September 2024,ASOS_2024.pdf,21.0
ASOS,2025,August,for the year ended 31 August 2025,ASOS_2025.pdf,103.0
About You,2021,February,as of 28 February 2022,AboutYou_2021.pdf,8.0
About You,2022,February,"As of February 28, 2023",AboutYou_2022.pdf,16.0
About You,2023,February,"as of February 29, 2024",AboutYou_2023.pdf,10.0
About You,2024,February,"as of February 28, 2025",AboutYou_2024.pdf,3.0
Allegro,2021,December,for the year ended 31 December 2021,Allegro_2021.pdf,1.0
Allegro,2022,December,for the year ended 31 December 2022,Allegro_2022.pdf,1.0
Allegro,2023,December,for the year ended 31 December 2023,Allegro_2023.pdf,1.0
Allegro,2024,December,as at 31 December 2024,Allegro_2024.pdf,174.0
Allegro,2025,December,for the year ended 31 December 2025,Allegro_2025.pdf,1.0
Boohoo,2021,UNVERIFIED,UNVERIFIED -- weak 'as at' fallback match; month (May) inconsistent with Boohoo 2023/2024 (both February) -- needs manual page review,Boohoo_2021.pdf,
Boohoo,2022,UNVERIFIED,UNVERIFIED -- quote cites 'year ended 28 February 2006' -- not a plausible FYE for this report; likely matched an unrelated historical reference,Boohoo_2022.pdf,
Boohoo,2023,February,FOR THE YEAR ENDED 28 FEBRUARY 2023,Boohoo_2023.pdf,1.0
Boohoo,2024,February,FOR THE YEAR ENDED 29 FEBRUARY 2024,Boohoo_2024.pdf,1.0
Boohoo,2025,UNVERIFIED,UNVERIFIED,Boohoo_2025.pdf,
Boozt,2023,UNVERIFIED,"UNVERIFIED -- weak 'as of' fallback match; date reads as a report-signing date, not a period end; inconsistent with other Boozt years -- needs manual review",Boozt Annual Report 2023.pdf,
Boozt,2024,December,as of 31 December 2024,Boozt Annual Report 2024.pdf,132.0
Boozt,2021,UNVERIFIED,UNVERIFIED -- weak 'as of' fallback match; month (January) inconsistent with the other 3 verifiable Boozt years (all December) -- needs manual review,Boozt_2021.pdf,
Boozt,2022,December,as of 31 December 2022,Boozt_2022.pdf,122.0
Boozt,2025,December,As of 31 December 2025,Boozt_2025.pdf,23.0
DocMorris,2021,UNVERIFIED,UNVERIFIED -- weak 'as at' fallback match; month (June) inconsistent with DocMorris 2023-2025 (all December) -- could reflect a genuine FYE change or a false match; needs manual page review either way,DocMorris_2021.pdf,
DocMorris,2022,UNVERIFIED,UNVERIFIED -- weak 'as at' fallback match; month (August) inconsistent with DocMorris 2023-2025 (all December) -- could reflect a genuine FYE change or a false match; needs manual page review either way,DocMorris_2022.pdf,
DocMorris,2023,December,As of 31 December 2023,DocMorris_2023.pdf,22.0
DocMorris,2024,December,for the year ended 31 December 2024,DocMorris_2024.pdf,143.0
DocMorris,2025,December,for the year ended 31 December 2025,DocMorris_2025.pdf,142.0
HelloFresh,2021,December,for the year ended 31 December 2021,HelloFresh_2021.pdf,10.0
HelloFresh,2022,December,for the year ended 31 December 2022,HelloFresh_2022.pdf,10.0
HelloFresh,2023,December,for the year ended 31 December 2023,HelloFresh_2023.pdf,11.0
HelloFresh,2024,December,for the year ended 31 December 2024,HelloFresh_2024.pdf,12.0
HelloFresh,2025,December,for the year ended 31 December 2025,HelloFresh_2025.pdf,14.0
Moonpig,2021,April,for The year ended 30 April 2021,Moonpig_2021.pdf,6.0
Moonpig,2022,April,as at 30 April 2022,Moonpig_2022.pdf,3.0
Moonpig,2023,April,For the year ended 30 April 2023,Moonpig_2023.pdf,11.0
Moonpig,2024,April,As at 30 April 2024,Moonpig_2024.pdf,5.0
Moonpig,2025,April,For the year ended 30 April 2025,Moonpig_2025.pdf,5.0
Mytheresa,2021,June,"For the fiscal year ended June 30, 2021",LuxAnnualReport2021.pdf,1.0
Mytheresa,2022,June,"For the fiscal year ended June 30, 2022",LuxAnnualReport2022.pdf,1.0
Mytheresa,2023,June,"For the fiscal year ended June 30, 2023",LuxAnnualReport2023.pdf,1.0
Mytheresa,2024,June,"For the fiscal year ended June 30, 2024",LuxAnnualReport2024.pdf,1.0
Mytheresa,2025,June,"For the fiscal year ended June 30, 2025",LuxAnnualReport2025.pdf,1.0
Redcare Pharmacy,2024,December,As of 31 December 2024,Redcare Pharmacy Annual Report 2024.pdf,54.0
Redcare Pharmacy,2021,December,as at 31 December 2021,RedcarePharmacy_2021.pdf,19.0
Redcare Pharmacy,2022,December,as at 31 December 2022,RedcarePharmacy_2022.pdf,15.0
Redcare Pharmacy,2023,December,for the year ended 31 December 2023,RedcarePharmacy_2023.pdf,133.0
Redcare Pharmacy,2025,December,"for the year ended December 31, 2025",RedcarePharmacy_2025.pdf,163.0
THG,2021,December,for the year ended 31 December 2021,THG_2021.pdf,104.0
THG,2022,December,Year ended 31 December 2022,THG_2022.pdf,20.0
THG,2023,December,Year ended 31 December 2023,THG_2023.pdf,19.0
THG,2024,December,Year ended 31 December 2024,THG_2024.pdf,17.0
THG,2025,December,as at 31 December 2025,THG_2025.pdf,27.0
Westwing,2021,December,"as of December 31, 2021",Westwing_2021.pdf,18.0
Westwing,2022,December,"as of December 31, 2022",Westwing_2022.pdf,18.0
Westwing,2023,December,as at 31 December 2023,Westwing_2023.pdf,18.0
Westwing,2024,December,as at 31 December 2024,Westwing_2024.pdf,18.0
Westwing,2025,December,as at 31 December 2025,Westwing_2025.pdf,18.0
Zalando,2021,UNVERIFIED,UNVERIFIED -- weak 'as of' fallback match; month (April) inconsistent with every other Zalando year in this panel -- needs manual page review,Zalando_2021.pdf,
Zalando,2022,UNVERIFIED,UNVERIFIED -- weak 'as of' fallback match; month (January) inconsistent with every other Zalando year in this panel -- needs manual page review,Zalando_2022.pdf,
Zalando,2023,UNVERIFIED,UNVERIFIED -- weak 'as of' fallback match; month (April) inconsistent with every other Zalando year in this panel -- needs manual page review,Zalando_2023.pdf,
Zalando,2024,UNVERIFIED,UNVERIFIED -- weak 'as of' fallback match; month (September) inconsistent with every other Zalando year in this panel -- needs manual page review,Zalando_2024.pdf,
Zalando,2025,December,as of 31 December 2025,Zalando_2025.pdf,18.0
