firm,year,source_document,llm_model,total_passages,substantive_count,transitional_count,symbolic_count,prop_substantive_%,prop_transitional_%,prop_symbolic_%,mean_signal_score,modal_classification
AO World,2021,AOWorld_2021.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
AO World,2022,AOWorld_2022.pdf,claude-sonnet-4-6,6,0,2,4,0.0,33.33,66.67,0.333,Symbolic
AO World,2023,AOWorld_2023.pdf,claude-sonnet-4-6,3,0,0,3,0.0,0.0,100.0,0.0,Symbolic
AO World,2024,AOWorld_2024.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
AO World,2025,AOWorld_2025.pdf,claude-sonnet-4-6,3,0,2,1,0.0,66.67,33.33,0.667,Transitional
ASOS,2021,ASOS_2021.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
ASOS,2022,ASOS_2022.pdf,claude-sonnet-4-6,6,0,0,6,0.0,0.0,100.0,0.0,Symbolic
ASOS,2023,ASOS_2023.pdf,claude-sonnet-4-6,12,0,0,12,0.0,0.0,100.0,0.0,Symbolic
ASOS,2024,ASOS_2024.pdf,claude-sonnet-4-6,3,0,0,3,0.0,0.0,100.0,0.0,Symbolic
ASOS,2025,ASOS_2025.pdf,claude-sonnet-4-6,12,0,0,12,0.0,0.0,100.0,0.0,Symbolic
About You,2021,AboutYou_2021.pdf,claude-sonnet-4-6,1,0,0,1,0.0,0.0,100.0,0.0,Symbolic
About You,2022,AboutYou_2022.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
About You,2023,AboutYou_2023.pdf,claude-sonnet-4-6,6,0,3,3,0.0,50.0,50.0,0.5,Transitional
About You,2024,AboutYou_2024.pdf,claude-sonnet-4-6,4,0,3,1,0.0,75.0,25.0,0.75,Transitional
Allegro,2021,Allegro_2021.pdf,claude-sonnet-4-6,17,0,3,14,0.0,17.65,82.35,0.176,Symbolic
Allegro,2022,Allegro_2022.pdf,claude-sonnet-4-6,26,0,2,24,0.0,7.69,92.31,0.077,Symbolic
Allegro,2023,Allegro_2023.pdf,claude-sonnet-4-6,75,12,14,49,16.0,18.67,65.33,0.507,Symbolic
Allegro,2024,Allegro_2024.pdf,claude-sonnet-4-6,0,0,0,0,0.0,0.0,0.0,0.0,No_AI_Disclosure
Allegro,2025,Allegro_2025.pdf,claude-sonnet-4-6,58,1,10,47,1.72,17.24,81.03,0.207,Symbolic
