firm,n_obs,mean_signal,sd_signal,min_signal,max_signal,zero_years
Boozt,5,0.5334,0.38016088699391476,0.0,1.0,1
THG,5,0.5084,0.4951416968909001,0.0,1.125,2
About You,4,0.3125,0.37500000000000006,0.0,0.75,2
DocMorris,5,0.3,0.4472135954999579,0.0,1.0,3
Zalando,5,0.2854,0.306737346927302,0.0,0.667,2
AO World,5,0.2,0.29823564508623046,0.0,0.667,3
Allegro,5,0.1934,0.19351046483330042,0.0,0.507,1
Moonpig,5,0.1332,0.18239161164922035,0.0,0.333,3
Redcare Pharmacy,5,0.065,0.08906177631284927,0.0,0.167,3
HelloFresh,5,0.025,0.05590169943749474,0.0,0.125,4
ASOS,5,0.0,0.0,0.0,0.0,5
Boohoo,5,0.0,0.0,0.0,0.0,5
Mytheresa,5,0.0,0.0,0.0,0.0,5
Westwing,5,0.0,0.0,0.0,0.0,5
